Název;Cena
"Motorola Moto G86 Power 5G 8GB/256GB PANTONE Spellbound";"5 900 – 7 860 Kč"
"Apple iPhone 17";"22 760 – 28 990 Kč"
"Apple iPhone 15";"14 780 – 30 179 Kč"
"Jak vybrat mobilní telefon?";"od 5 490 Kč"
"Motorola Edge 50 Fusion 8GB/256GB Forest Blue";"24 590 – 60 015 Kč"
"Apple iPhone 16 Pro";"7 050 – 14 120 Kč"
"Samsung Galaxy A56 5G";"34 640 – 61 990 Kč"
"Apple iPhone 17 Pro Max";"17 565 – 54 049 Kč"
"Apple iPhone 16";"1 varianta"
"Apple iPhone 16e";"13 622 – 43 320 Kč"
"Apple iPhone 17 Pro";"32 660 – 61 990 Kč"
"Samsung Galaxy S25 Ultra";"22 590 – 64 304 Kč"
"Xiaomi Redmi Note 14 Pro 5G";"5 791 – 10 028 Kč"
"Samsung Galaxy S24";"11 690 – 31 269 Kč"
"Xiaomi 15T Pro 12GB/256GB Black";"15 190 – 19 059 Kč"
"Xiaomi Redmi Note 14";"3 131 – 6 162 Kč"
"Samsung Galaxy S25";"14 450 – 40 194 Kč"
"Xiaomi Redmi Note 14 5G";"1 varianta"
"Samsung Galaxy A36 5G";"4 510 – 7 423 Kč"
"Xiaomi Redmi 15 5G";"1 varianta"
"Apple iPhone 16 Pro Max";"5 373 – 14 259 Kč"
"Xiaomi 14T Pro";"4 121 – 7 652 Kč"
"Xiaomi Redmi Note 14 Pro";"29 400 – 54 966 Kč"
"Samsung Galaxy A26 5G";"Různé varianty"
